Model,Best_Params,CV_F1_Score,CV_F1_Std,Test_F1,Test_Precision,Test_Recall,Test_AUC,Optimal_Threshold,Optimal_F1,Optimal_Precision,Optimal_Recall,Training_Time
Random Forest,"{'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.4175824175824176,0.10676885979332852,0.36363636363636365,0.4444444444444444,0.3076923076923077,0.846930846930847,0.3978718875847964,0.4666666666666667,0.4117647058823529,0.5384615384615384,108.90589618682861
XGBoost,"{'colsample_bytree': 0.9, 'learning_rate': 0.15, 'max_depth': 8, 'n_estimators': 300, 'scale_pos_weight': 5, 'subsample': 0.9}",0.37602467707730863,0.10967316064528752,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.8624708624708625,0.14789177477359772,0.5454545454545454,0.45,0.6923076923076923,73.12313151359558
Gradient Boosting,"{'learning_rate': 0.15, 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 300, 'subsample': 0.7}",0.4066666666666666,0.14604692812729578,0.34782608695652173,0.4,0.3076923076923077,0.8616938616938618,0.0006203851296834406,0.5161290322580645,0.4444444444444444,0.6153846153846154,161.98744440078735
Extra Trees,"{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 200}",0.47058823529411764,0.08684376929589117,0.4166666666666667,0.45454545454545453,0.38461538461538464,0.8702408702408703,0.34073976948534573,0.5405405405405406,0.4166666666666667,0.7692307692307693,78.40875148773193
Logistic Regression,"{'C': 100, 'penalty': 'l1', 'solver': 'liblinear'}",0.38137973137973136,0.11410052254935325,0.42857142857142855,0.27906976744186046,0.9230769230769231,0.8865578865578867,0.7587139128937498,0.5185185185185185,0.5,0.5384615384615384,6.436476945877075
AdaBoost,"{'algorithm': 'SAMME', 'learning_rate': 1.0, 'n_estimators': 100}",0.398562091503268,0.09651662999640817,0.42105263157894735,0.6666666666666666,0.3076923076923077,0.8205128205128206,0.4675445429287081,0.45161290322580644,0.3888888888888889,0.5384615384615384,3.8807051181793213
SVM,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.3591835798646944,0.1384859975325439,0.44,0.2972972972972973,0.8461538461538461,0.8741258741258742,0.16387974033167962,0.46153846153846156,0.34615384615384615,0.6923076923076923,3.4185373783111572
