Model,F1_Score,Precision,Recall,AUC,CV_F1,Training_Time
Random Forest,0.4666666666666667,0.4117647058823529,0.5384615384615384,0.846930846930847,0.4175824175824176,108.90589618682861
XGBoost,0.5454545454545454,0.45,0.6923076923076923,0.8624708624708625,0.37602467707730863,73.12313151359558
Gradient Boosting,0.5161290322580645,0.4444444444444444,0.6153846153846154,0.8616938616938618,0.4066666666666666,161.98744440078735
Extra Trees,0.5405405405405406,0.4166666666666667,0.7692307692307693,0.8702408702408703,0.47058823529411764,78.40875148773193
Logistic Regression,0.5185185185185185,0.5,0.5384615384615384,0.8865578865578867,0.38137973137973136,6.436476945877075
AdaBoost,0.45161290322580644,0.3888888888888889,0.5384615384615384,0.8205128205128206,0.398562091503268,3.8807051181793213
SVM,0.46153846153846156,0.34615384615384615,0.6923076923076923,0.8741258741258742,0.3591835798646944,3.4185373783111572
