Model,F1_Score,Precision,Recall,AUC,CV_F1,Training_Time
Random Forest,0.4666666666666667,0.4117647058823529,0.5384615384615384,0.846930846930847,0.4175824175824176,45.49982023239136
XGBoost,0.5333333333333333,0.47058823529411764,0.6153846153846154,0.8601398601398602,0.391941391941392,38.439563274383545
Gradient Boosting,0.5161290322580645,0.4444444444444444,0.6153846153846154,0.8616938616938618,0.4066666666666666,76.85699653625488
Extra Trees,0.5405405405405406,0.4166666666666667,0.7692307692307693,0.8702408702408703,0.47058823529411764,31.113231658935547
Logistic Regression,0.5185185185185185,0.5,0.5384615384615384,0.8865578865578867,0.38137973137973136,2.916792631149292
AdaBoost,0.45161290322580644,0.3888888888888889,0.5384615384615384,0.8205128205128206,0.398562091503268,2.0648622512817383
SVM,0.46153846153846156,0.34615384615384615,0.6923076923076923,0.8741258741258742,0.3591835798646944,2.358597993850708
